Date;Fish;Lon;Lat
10102022;Berggylt;6.56095;58.25116
10102022;Makrell;4.50056;60.24815
10102022;Sild;16.5;71.25
10102022;Hyse;30.5;70.66667
10102022;Sei;17.5;70.25
10102022;Uer (vanlig);17.5;70.25
10102022;Lyr;5.5;62.75
10102022;Torsk;8.0;79.25
10102022;Breiflabb;5.5;57.25
10102022;Lange;6.5;63.75
11102022;Berggylt;5.37624;59.23466
11102022;Makrell;4.50056;60.24815
11102022;Sild;15.5;71.25
11102022;Hyse;20.0;74.5
11102022;Sei;31.5;70.75
11102022;Uer (vanlig);31.5;70.25
11102022;Lyr;5.59752;62.21811
11102022;Torsk;20.0;74.5
11102022;Breiflabb;8.4814;63.76938
11102022;Lange;0.5;60.25
12102022;Berggylt;5.37624;59.23466
12102022;Makrell;5.43607;58.72558
12102022;Sild;15.5;71.25
12102022;Hyse;26.79157;70.49274
12102022;Sei;31.0;72.5
12102022;Uer (vanlig);31.0;72.5
12102022;Lyr;7.67022;57.81892
12102022;Torsk;31.0;72.5
12102022;Breiflabb;4.5;61.75
12102022;Lange;2.5;60.75
13102022;Berggylt;5.37624;59.23466
13102022;Makrell;5.38093;60.22739
13102022;Sild;16.5;71.25
13102022;Hyse;33.0;73.5
13102022;Sei;33.0;73.5
13102022;Uer (vanlig);33.0;73.5
13102022;Lyr;7.67022;57.81892
13102022;Torsk;33.0;73.5
13102022;Breiflabb;10.50548;64.74619
13102022;Lange;33.0;73.5
14102022;Berggylt;5.37624;59.23466
14102022;Makrell;2.5;59.75
14102022;Sild;16.0;71.75
14102022;Hyse;1.5;61.25
14102022;Sei;1.5;61.25
14102022;Uer (vanlig);13.5;68.75
14102022;Lyr;1.5;61.25
14102022;Torsk;13.5;68.75
14102022;Breiflabb;8.4814;63.76938
14102022;Lange;1.5;61.25
15102022;Berggylt;5.37624;59.23466
15102022;Makrell;-0.5;59.25
15102022;Sild;16.0;71.75
15102022;Hyse;51.0;69.5
15102022;Sei;17.5;70.25
15102022;Uer (vanlig);17.5;70.25
15102022;Lyr;1.5;59.75
15102022;Torsk;30.5;70.66667
15102022;Breiflabb;14.43561;67.19701
15102022;Lange;1.5;59.75
16102022;Berggylt;5.59752;62.21811
16102022;Makrell;5.43607;58.72558
16102022;Sild;16.0;71.75
16102022;Hyse;33.0;73.5
16102022;Sei;33.0;73.5
16102022;Uer (vanlig);33.0;73.5
16102022;Lyr;7.67022;57.81892
16102022;Torsk;33.0;73.5
16102022;Breiflabb;11.56914;65.22203
16102022;Lange;19.5;70.75
